@RELATION BirdsLogged_unclassified

@ATTRIBUTE "huml" REAL
@ATTRIBUTE "humw" REAL
@ATTRIBUTE "ulnal" REAL
@ATTRIBUTE "ulnaw" REAL
@ATTRIBUTE "feml" REAL
@ATTRIBUTE "femw" REAL
@ATTRIBUTE "tibl" REAL
@ATTRIBUTE "tibw" REAL
@ATTRIBUTE "tarl" REAL
@ATTRIBUTE "tarw" REAL

@DATA
19.21,1.64,20.76,1.49,19.24,1.45,33.21,1.28,23.6,1.15
18.79,1.63,19.83,1.53,20.96,1.43,34.45,1.41,22.86,1.21
20.38,1.78,22.53,1.5,21.35,1.48,36.09,1.53,25.98,1.24
17.89,1.44,19.26,1.1,17.62,1.34,29.81,1.24,21.69,1.05
27.72,2.67,32,2.21,22.68,2.13,32.5,1.76,19.65,1.64
29.14,2.75,32.91,2.16,23.13,2.11,33.89,1.8,20.86,1.7
27.85,2.65,32.62,2.05,22.84,2.14,33.62,1.91,20.82,1.8
20.06,1.73,23.15,1.49,16.63,1.57,24.71,1.29,15.19,1.24
117.43,7.13,136.26,5.51,75.54,5.85,115.3,5.45,59.45,8.25
116.85,7.43,134.8,6.19,73.51,6.1,112.66,5.94,61.25,6.9
119.58,8.04,138.39,6.25,76.36,6.5,115.9,6.07,59.9,6.92
126.88,8.01,148.47,6.59,81.42,6.71,124.05,6.58,64.57,7.97
34.24,3.39,30.65,2.63,40.41,2.92,53.77,2.72,32.24,2.67
118.75,11.9,104.68,4.77,108.85,10.29,183,9.69,134,7.96
127,13.79,123.27,9.42,117.07,11.64,189,10.03,128.5,8.19
39.64,4.07,37.32,2.98,45.5,3.42,64.45,3.37,37.77,2.86
32.31,2.16,32.74,1.98,19.05,1.4,33.37,1.14,21.2,1
28.51,1.8,29.35,1.78,17.6,1.21,36.04,1.14,20.81,0.83
34.12,1.9,35.57,1.93,21.22,1.39,46.24,1.27,31.39,1.05
87.01,5.18,94.34,4.45,35.73,2.8,67.12,2.93,43.43,2.34
105.19,7.1,96.85,5.43,37.61,4.43,102.04,4.9,54.78,2.83
76.49,5.36,69.06,4.02,30.07,3.03,72.41,3.71,43.11,2.08
65.66,3.79,61.06,3.35,24.95,2.44,63.76,2.72,40.19,1.89
98.73,6.48,91.69,5.31,35.34,4.02,92.36,4.46,50.53,2.69
