"huml","humw","ulnal","ulnaw","feml","femw","tibl","tibw","tarl","tarw"
-1.1212630362044231,-1.28170206298765,-1.0999870431835885,-1.3840265138518197,-1.636053275381956,-1.3287929409959238,-1.5683344032250313,-1.3560518422966794,-1.493126927495543,-1.2499212385728584
-1.1218530244582048,-1.2847857511702583,-1.1011090920275381,-1.366575963784249,-1.6298455421801141,-1.3387068834898692,-1.566941850758666,-1.289092605514802,-1.495101836123881,-1.2164899197811363
-1.119685109493861,-1.240400969717671,-1.0979839566155978,-1.379620345309154,-1.6285089487936735,-1.3141755212680262,-1.565175162571459,-1.2325525482562805,-1.4871708256595428,-1.200390970148614
-1.1231629914289534,-1.3472724372636389,-1.1018231144021655,-1.583925519370849,-1.6424301073428649,-1.3851068363491388,-1.5724373479487574,-1.3780292724366925,-1.498358671409095,-1.3097207109843345
-1.1114756128753234,-1.0359729851499482,-1.0893936126038084,-1.124348391837679,-1.6241276736956614,-1.0542980668854938,-1.5691553538323848,-1.1356083280732947,-1.504481757279076,-1.0166083995020108
-1.110142300879202,-1.0210883190268962,-1.0887071291241512,-1.1394227279461477,-1.622703274835901,-1.0610320072530004,-1.567564431981699,-1.1200519227479027,-1.500777423644655,-0.9929888194873858
-1.1113507412588433,-1.039763840949782,-1.0889238159546748,-1.1738529736635748,-1.6236180085395655,-1.0509547709140492,-1.5678682903607057,-1.0789911549115965,-1.5008964080865266,-0.9554162551281836
-1.1201074939056355,-1.2547660851935725,-1.097319350831428,-1.3840265138518197,-1.6466224912000917,-1.2720378359667588,-1.5795652078574567,-1.3506648041822225,-1.5204406895320544,-1.200390970148614
-1.0729452225808478,-0.540749450745716,-1.053923794323465,-0.5225604096539357,-1.5368977254210463,-0.3331395718536935,-1.5210516027923477,-0.3531784913519712,-1.4358542453235639,0.04533700484359599
-1.0730773684681638,-0.5199698018620316,-1.0541875267154952,-0.44590488804897366,-1.5388726764818352,-0.30326942344973423,-1.5219315121581185,-0.2935818929075039,-1.4340051674707888,-0.07212442002766299
-1.072461001504632,-0.4801882600475968,-1.0535440593833056,-0.4395506290552132,-1.5361149706508546,-0.2579340381031511,-1.52085443424328,-0.2785954595403356,-1.4353867794496802,-0.07022184005879498
-1.0708795224158085,-0.4820730526954823,-1.051822820156539,-0.40465700283846906,-1.5314632572924314,-0.23523774289757127,-1.5182729041576233,-0.2227489420204762,-1.4307329135866218,0.022639872447878705
-1.105837848459851,-0.915598934333655,-1.0904488538963528,-1.0097368675581226,-1.5822523716135224,-0.8291239529671727,-1.550029462730045,-0.8342677060119192,-1.4737881793365941,-0.6962321154937299
-1.072646893684886,-0.2824940175922147,-1.060378563953747,-0.6175598629177058,-1.5104130184437667,0.0699610359743514,-1.5035032231013106,0.04518573061888644,-1.3854740021373637,0.021814585559374693
-1.0708542926758253,-0.2081750044595222,-1.0563765624627994,-0.16930846753050763,-1.5051349584932388,0.15795371546543588,-1.5022777064410546,0.06905812746144467,-1.388072095236312,0.04053887463243255
-1.1019294211231787,-0.8234279722618795,-1.0856284844637714,-0.9274367825548767,-1.573651381742996,-0.7163041165230748,-1.543147073748509,-0.6859358697432907,-1.4639745762775507,-0.651044428414583
-1.1073862765207791,-1.142844452695916,-1.0888339197115158,-1.1967388396662855,-1.636772786029,-1.353840857854914,-1.5681518244567938,-1.4362342046874288,-1.4997751717817083,-1.3417924824034146
-1.1107256365211233,-1.2347675988638842,-1.0915098943122927,-1.2668816103044664,-1.6425124464430045,-1.4579488169965649,-1.5652278282139438,-1.4362342046874288,-1.5009261899151962,-1.464274538819926
-1.1059315484670074,-1.2075079090547403,-1.0868042626995902,-1.2135868102671707,-1.628951747637108,-1.358957671056313,-1.5557606880436623,-1.3614811321219653,-1.4754444854354074,-1.3097207109843345
-1.0809470588075316,-0.7018385377003946,-1.0629247309665353,-0.6633028166659656,-1.5911760976830136,-0.8590776787244205,-1.5416050635022736,-0.7827861179816923,-1.4553184612151073,-0.7829534880566118
-1.0758829765389077,-0.5428753067953702,-1.0622818873247353,-0.5321945081251801,-1.58745837045686,-0.5316038892441485,-1.5256926590304487,-0.42681829429158424,-1.4409257472948709,-0.6579760313470921
-1.0843862662113393,-0.6846162446153194,-1.0705613025146041,-0.7302433616856362,-1.6036795674434114,-0.8027286220507903,-1.5387232256811678,-0.6193992359158673,-1.4557769121157509,-0.8603770971163983
-1.0884608568583172,-0.8593645032967901,-1.0735754596818665,-0.8503421703671392,-1.6172119148329442,-0.9573107702581221,-1.543555961996461,-0.8342677060119192,-1.4601247525089902,-0.9233444837091033
-1.0775744999994306,-0.5889445202414503,-1.0636222629378738,-0.5469151149330279,-1.5919717953352825,-0.6009257506897228,-1.529478929788975,-0.4919478350877491,-1.4459320029543958,-0.6913265634707741
